year,value,edu_encoded,area_clean_นอกเขตเทศบาล,area_clean_รวม,area_clean_เขตเทศบาล,sex_clean_ชาย,sex_clean_รวม,sex_clean_หญิง,quarter1,quarter2,quarter3,quarter4
2567,63.78,5,0,1,0,0,0,1,1,0,0,0
2567,77.01,6,0,1,0,0,0,1,1,0,0,0
2567,82.27,7,0,1,0,0,0,1,1,0,0,0
2567,75.75,8,0,1,0,0,0,1,1,0,0,0
2567,68.34,9,0,1,0,0,0,1,1,0,0,0
2567,90.1,10,0,1,0,0,0,1,1,0,0,0
2567,81.82,11,0,1,0,0,0,1,1,0,0,0
2567,69.18,12,0,0,1,0,1,0,1,0,0,0
2567,57.05,0,0,0,1,0,1,0,1,0,0,0
2567,43.62,1,0,0,1,0,1,0,1,0,0,0
2567,74.54,2,0,0,1,0,1,0,1,0,0,0
2567,66.41,3,0,0,1,0,1,0,1,0,0,0
2567,68.84,4,0,0,1,0,1,0,1,0,0,0
2567,70.03,5,0,0,1,0,1,0,1,0,0,0
2567,78.89,6,0,0,1,0,1,0,1,0,0,0
2567,82.63,7,0,0,1,0,1,0,1,0,0,0
2567,82.54,8,0,0,1,0,1,0,1,0,0,0
2567,63.61,9,0,0,1,0,1,0,1,0,0,0
2567,93.8,10,0,0,1,0,1,0,1,0,0,0
2567,83.28,11,0,0,1,0,1,0,1,0,0,0
2567,77.08,12,0,0,1,1,0,0,1,0,0,0
2567,75,0,0,0,1,1,0,0,1,0,0,0
2567,56.46,1,0,0,1,1,0,0,1,0,0,0
2567,83.43,2,0,0,1,1,0,0,1,0,0,0
2567,74.04,3,0,0,1,1,0,0,1,0,0,0
2567,75.69,4,0,0,1,1,0,0,1,0,0,0
2567,76.08,5,0,0,1,1,0,0,1,0,0,0
2567,73.02,6,0,0,1,1,0,0,1,0,0,0
2567,84.53,7,0,0,1,1,0,0,1,0,0,0
2567,88.8,8,0,0,1,1,0,0,1,0,0,0
2567,65.22,9,0,0,1,1,0,0,1,0,0,0
2567,95.87,10,0,0,1,1,0,0,1,0,0,0
2567,86.54,11,0,0,1,1,0,0,1,0,0,0
2567,62.13,12,0,0,1,0,0,1,1,0,0,0
2567,45.22,0,0,0,1,0,0,1,1,0,0,0
2567,36,1,0,0,1,0,0,1,1,0,0,0
2567,65.3,2,0,0,1,0,0,1,1,0,0,0
2567,57.56,3,0,0,1,0,0,1,1,0,0,0
2567,62.33,4,0,0,1,0,0,1,1,0,0,0
2567,62.59,5,0,0,1,0,0,1,1,0,0,0
2567,83.78,6,0,0,1,0,0,1,1,0,0,0
2567,81.27,7,0,0,1,0,0,1,1,0,0,0
2567,74.81,8,0,0,1,0,0,1,1,0,0,0
2567,62.83,9,0,0,1,0,0,1,1,0,0,0
2567,92.13,10,0,0,1,0,0,1,1,0,0,0
2567,80.39,11,0,0,1,0,0,1,1,0,0,0
2567,67.12,12,1,0,0,0,1,0,1,0,0,0
2567,46.35,0,1,0,0,0,1,0,1,0,0,0
2567,46.26,1,1,0,0,0,1,0,1,0,0,0
2567,75.27,2,1,0,0,0,1,0,1,0,0,0
2567,63.91,3,1,0,0,0,1,0,1,0,0,0
2567,76.04,4,1,0,0,0,1,0,1,0,0,0
2567,71.85,5,1,0,0,0,1,0,1,0,0,0
2567,63.92,6,1,0,0,0,1,0,1,0,0,0
2567,85.27,7,1,0,0,0,1,0,1,0,0,0
2567,85.52,8,1,0,0,0,1,0,1,0,0,0
2567,71.86,9,1,0,0,0,1,0,1,0,0,0
2567,92.24,10,1,0,0,0,1,0,1,0,0,0
2567,90.17,11,1,0,0,0,1,0,1,0,0,0
2567,77.21,12,1,0,0,1,0,0,1,0,0,0
2567,58.56,0,1,0,0,1,0,0,1,0,0,0
2567,60.62,1,1,0,0,1,0,0,1,0,0,0
2567,83.61,2,1,0,0,1,0,0,1,0,0,0
2567,73.04,3,1,0,0,1,0,0,1,0,0,0
2567,87.07,4,1,0,0,1,0,0,1,0,0,0
2567,77.02,5,1,0,0,1,0,0,1,0,0,0
2567,62.29,6,1,0,0,1,0,0,1,0,0,0
2567,87.29,7,1,0,0,1,0,0,1,0,0,0
2567,92.16,8,1,0,0,1,0,0,1,0,0,0
2567,65.7,9,1,0,0,1,0,0,1,0,0,0
2567,96.19,10,1,0,0,1,0,0,1,0,0,0
2567,92.56,11,1,0,0,1,0,0,1,0,0,0
2567,57.79,12,1,0,0,0,0,1,1,0,0,0
2567,39.27,0,1,0,0,0,0,1,1,0,0,0
2567,36.39,1,1,0,0,0,0,1,1,0,0,0
2567,65.9,2,1,0,0,0,0,1,1,0,0,0
2567,52.88,3,1,0,0,0,0,1,1,0,0,0
2567,65.43,4,1,0,0,0,0,1,1,0,0,0
2567,65.33,5,1,0,0,0,0,1,1,0,0,0
2567,65.42,6,1,0,0,0,0,1,1,0,0,0
2567,84.06,7,1,0,0,0,0,1,1,0,0,0
2567,76.79,8,1,0,0,0,0,1,1,0,0,0
2567,74.49,9,1,0,0,0,0,1,1,0,0,0
2567,88.46,10,1,0,0,0,0,1,1,0,0,0
2567,87.17,11,1,0,0,0,0,1,1,0,0,0
2567,67.9,12,0,1,0,0,1,0,0,1,0,0
2567,49.8,0,0,1,0,0,1,0,0,1,0,0
2567,44.1,1,0,1,0,0,1,0,0,1,0,0
2567,76,2,0,1,0,0,1,0,0,1,0,0
2567,64.4,3,0,1,0,0,1,0,0,1,0,0
2567,71.9,4,0,1,0,0,1,0,0,1,0,0
2567,71.2,5,0,1,0,0,1,0,0,1,0,0
2567,65.1,6,0,1,0,0,1,0,0,1,0,0
2567,83.8,7,0,1,0,0,1,0,0,1,0,0
2567,84.4,8,0,1,0,0,1,0,0,1,0,0
2567,66.8,9,0,1,0,0,1,0,0,1,0,0
2567,94.1,10,0,1,0,0,1,0,0,1,0,0
2567,80.8,11,0,1,0,0,1,0,0,1,0,0
2567,76.9,12,0,1,0,1,0,0,0,1,0,0
2567,66.4,0,0,1,0,1,0,0,0,1,0,0
2567,58.3,1,0,1,0,1,0,0,0,1,0,0
2567,84.6,2,0,1,0,1,0,0,0,1,0,0
2567,72.9,3,0,1,0,1,0,0,0,1,0,0
2567,80.1,4,0,1,0,1,0,0,0,1,0,0
2567,76.7,5,0,1,0,1,0,0,0,1,0,0
2567,80.4,6,0,1,0,1,0,0,0,1,0,0
2567,85.6,7,0,1,0,1,0,0,0,1,0,0
2567,89.3,8,0,1,0,1,0,0,0,1,0,0
